Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Open Volunteer Meeting,09/25/2026,4:45 PM,09/25/2026,6:00 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
Open Volunteer Meeting,10/02/2026,4:45 PM,10/02/2026,6:00 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
Poster Shoot,10/04/2026,2:00 PM,10/04/2026,7:00 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
Open Volunteer Meeting,10/09/2026,4:45 PM,10/09/2026,6:00 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
Open Volunteer Meeting,10/23/2026,4:45 PM,10/23/2026,6:00 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
Open Volunteer Meeting,11/06/2026,4:45 PM,11/06/2026,6:00 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
Cast CD Parent Meeting,11/14/2026,11:45 AM,11/14/2026,12:45 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
Cast AB Parent Meeting,11/14/2026,3:30 PM,11/14/2026,4:30 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
Recording,11/16/2026,5:30 PM,,,False,,,False
Open Volunteer Meeting,11/20/2026,4:45 PM,11/20/2026,6:00 PM,False,"Location: The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370","The Creative Consortium, 1015 NE Hostmark St #101, Poulsbo, WA 98370",False
